recipe_id,recipe_name,favorite_count,ingredients
52823,Lobster Bisque,58,"lobster, cream, butter, milk, onion, wine"
52824,Fish and Chips,56,"fish, potatoes, flour, eggs, bread crumbs, oil"
52825,Pad See Ew,54,"rice noodles, soy sauce, garlic, chicken, broccoli"
52826,Green Curry,52,"coconut milk, curry paste, chicken, bell pepper, basil"
52827,Tom Yum Soup,50,"shrimp, lemongrass, lime, garlic, fish sauce, chilies"
52828,Pho,48,"beef, rice noodles, broth, garlic, ginger, basil"
52829,Ramen,46,"noodles, eggs, pork, soy sauce, mirin, chicken broth"
52830,Yakitori,44,"chicken, soy sauce, mirin, ginger, garlic"
52831,Sushi Roll,42,"rice, nori, salmon, avocado, cucumber, soy sauce"
52832,Tempura,40,"shrimp, squid, flour, eggs, oil, soy sauce"
52833,Gyoza,38,"pork, flour, garlic, ginger, soy sauce"
52834,Okonomiyaki,36,"flour, eggs, cabbage, pork, mayonnaise, soy sauce"
52835,Tonkatsu,34,"pork, flour, eggs, bread crumbs, soy sauce, oil"
52836,Chicken Katsu,32,"chicken, flour, eggs, bread crumbs, soy sauce, oil"
52837,Bibimbap,30,"rice, beef, vegetables, eggs, soy sauce, sesame oil"
52838,Kimchi Jjigae,28,"kimchi, pork, tofu, soy sauce, garlic, gochugaru"
52839,Bulgogi,26,"beef, soy sauce, ginger, garlic, sesame oil"
52840,Tteokbokki,24,"rice cakes, gochujang, soy sauce, garlic, vegetables"
52841,Miso Soup,22,"miso, tofu, seaweed, dashi, onion, mushroom"
52842,Edamame,20,"soybeans, salt, water"
52843,Agedashi Tofu,18,"tofu, soy sauce, flour, oil, ginger, garlic"
52844,Satay Chicken,16,"chicken, peanut butter, soy sauce, garlic, lime, cilantro"
52845,Spring Rolls,14,"rice paper, pork, shrimp, vegetables, soy sauce"
52846,Coconut Shrimp,12,"shrimp, coconut, flour, eggs, oil"
52847,Fried Wontons,10,"wonton wrapper, pork, flour, eggs, soy sauce, oil"
52848,Larb,8,"pork, fish sauce, lime, garlic, mint, chilies"
52849,Som Tam,6,"papaya, lime, fish sauce, garlic, chilies, peanuts"
52850,Chicken Satay Skewers,143,"chicken, peanut sauce, soy sauce, garlic, lime"
52851,Beef Tenderloin,141,"beef, garlic, herbs, olive oil"
52852,Lamb Chops,139,"lamb, garlic, rosemary, olive oil, lemon"
52853,Pork Ribs,137,"pork, barbecue sauce, garlic, paprika"
52854,Duck Confit,135,"duck, garlic, thyme, salt, oil"
52855,Venison Steak,133,"venison, garlic, rosemary, butter"
52856,Rabbit Stew,131,"rabbit, wine, garlic, onion, mushrooms"
52857,Goose Roast,129,"goose, garlic, herbs, butter"
52858,Quail Roasted,127,"quail, garlic, herbs, butter, lemon"
52859,Pigeon Breast,125,"pigeon, garlic, herbs, butter"
52860,Veal Chop,123,"veal, garlic, herbs, butter, lemon"
52861,Beef Bourguignon,121,"beef, wine, garlic, onion, mushrooms, butter"
52862,Lamb Tagine,119,"lamb, apricots, onion, garlic, spices"
52863,Pork Schnitzel,117,"pork, flour, eggs, bread crumbs, lemon, butter"
52864,Chicken Schnitzel,115,"chicken, flour, eggs, bread crumbs, lemon, butter"
52865,Turkey Breast,113,"turkey, garlic, herbs, butter, lemon"
52866,Ham Steak,111,"ham, pineapple, brown sugar, garlic"
52867,Sausage Pasta,109,"sausage, pasta, tomato, garlic, onion, basil"
52868,Meatloaf,107,"beef, bread crumbs, eggs, milk, onion, garlic"
52869,Chicken Tenders,105,"chicken, flour, eggs, bread crumbs, oil"
52870,Fish Cakes,103,"fish, potatoes, eggs, flour, onion, oil"
52871,Croquettes,101,"potatoes, ham, cheese, eggs, flour, oil"
52872,Arancini,99,"rice, mozzarella, eggs, bread crumbs, oil"
52873,Falafel,97,"chickpeas, flour, garlic, onion, herbs, oil"
52874,Hummus,95,"chickpeas, tahini, lemon, garlic, olive oil"
52875,Baba Ganoush,93,"eggplant, tahini, lemon, garlic, olive oil"
52876,Tabbouleh,91,"parsley, bulgur, tomato, olive oil, lemon"
52877,Fattoush,89,"lettuce, vegetables, pita chips, sumac, olive oil"
52878,Shawarma,87,"chicken, pita, tahini, garlic, lemon"
52879,Kebab,85,"meat, pita, vegetables, garlic, herbs"
52880,Fajitas,83,"chicken, tortillas, bell pepper, onion, garlic, oil"
52881,Enchiladas,81,"tortillas, cheese, sauce, onion, garlic"
52882,Tacos,79,"tortillas, beef, onion, cilantro, lime"
52883,Quesadilla,77,"tortillas, cheese, chicken, onion, peppers"
52884,Burrito,75,"tortilla, rice, beans, cheese, meat, vegetables"
52885,Tostadas,73,"tortilla, beans, lettuce, cheese, sour cream"
52886,Nachos,71,"tortilla chips, cheese, jalapeños, sour cream"
52887,Chiles Rellenos,69,"poblano peppers, cheese, eggs, tomato sauce"
52888,Mole Sauce,67,"chicken, mole sauce, sesame seeds, chocolate"
52889,Tamales,65,"corn masa, pork, chile sauce, corn husks"
52890,Pozole,63,"pork, hominy, guajillo chile, garlic, onion"
52891,Chilaquiles,61,"tortilla chips, salsa, eggs, cheese, onion"
52892,Chiles en Nogada,59,"poblano pepper, walnut sauce, pomegranate, cheese"
52893,Cochinita Pibil,57,"pork, achiote, orange, banana leaf"
52894,Ceviche,55,"fish, lime, cilantro, onion, tomato"
52895,Causa,53,"potato, lime, aji, avocado"
52896,Anticuchos,51,"beef heart, spices, vinegar, skewers"
52897,Empanadas,49,"pastry, beef, onion, garlic, eggs"
52898,Arepas,47,"cornmeal, cheese, butter, salt"
52899,Pupusas,45,"corn tortilla, cheese, beans, pork"
52900,Patacones,43,"plantains, garlic, oil, salt"
